Company Name
zynga
inmobi
smart joules
target
gojek
amazon
redbus
myntra
technicolor
sunschool
servicenow
rambus
apex
sony
ather
siemens gamesa
ebay
flipkart
zomato
cred
walt disney
verse
bbc news
bigbinary
mcafee
sophos
mediatek
rockwell automation
smart joules
tesla
delta electronics
kalkitech
expedia group
razorpay
amadeus
goibibo
ruby seven studios
atlassian
twilio
panacea
texas instruments
bmw
polestar
shell
oerlekon
bharat petroleum
walmart
paypal
swiggy
roku
pega
uber
yelp
kimball electronics
qualcomm
motorola
ntt
land rover
sandisk
brightcove
oracle
cerner
iqvia
ford
baker hughes
continental
ford
citi bank
Gartner
BML
mitsogo
mu sigma
BROADCOM
ALPHAWAVE
SEMI
SYNOPSYS
ANALOG DEVICES
OTHOFX
NOVARTIS
terawe
Prevalent AI
suyati
aspire systems
DifiNative
Flutura
nissan digital
accubits
CGI
WORKZ
informatica
dexlock
TECHVANTAGE
L&T Technology Service
TISMO
Manhattan
Intel
Ansys
SYN
pwc
