Company Name
Bloomberg
Mindtree
Cognizant
Zensar
Vanenburg
FLYTXT
Virtusa
Marlabs
Actiotech
Codemonk
Terrific Minds
247.ai
Capgemini
Invesco
Kovenantz
Factset
Maersk
BlackRock
Optimi
McKinsey & Co
Deloitte
Fingent
HSBC
Standard Chartered
LTIMindtree
EY
Subex
KPMG
Travancore Analysis
Scotiabank
American Express
Standard Chatered
Brillio
Envestnet
KPMG
S&P Global
Fidelity Investments
VMware
Nutanix
Headspin
FLYCATCH
IBM
INTUIT
INFLECTION
INCTURE
Thoughtworks
MATHWORKS
CITRIX
PROGRESS
ZOHO
META
MICROSOFT
GOOGLE
YAHOO
AWS
CAPILLARY
COUCHBASE
TALLY
RED HAT
KEYVALUE
HYPERFACE
DELL
ESRI
RIPPEY.AI
WHITE RABBIT
GENESYS
SALESFORCE
IMANAGE
AKAMAI
SAPAAD
ADOBE
SOTI
ORACLE
SAPAAD
COMPILE
PALOALTO NETWORKS
SMARTER GRID SOLUTIONS
TECH MAHINDRA CERIUM SYSTEMS
BHARAT HEAVY ELECTRICALS LIMITED
MOBIVEIL
APPLE
BLUEJEANS
SAMSUNG
HP
HARMAN
APPLIED MATERIALS
INFOR
LINKEDIN
BYJUS
4PMETRIC
PERF AGENTS
UNACADEMY
TWITTER
ESPER
TARGET
GOJEK
AMAZON
REDBUS
MYNTRA
CRED
RAKUTEN
TECHNICOLOR
ZYNGA
UNSCHOOL
SERVICENOW
RAMBUS
APEX SEMICONDUCTORS
SONY
ATHER
SIEMENS GAMESA
